The Walking Dead, 11S, 16E, *4, neu
The last Ship, 4S, 10E, 4.8.18, *3, neu
Hawaii Five-0, 4S, 22E, *2, neu
Criminal minds, 11S, 22E, *3, neu
Criminal Minds: Beyond Borders, 1S, 13E, *2, neu
Prison Break, 5S, 9E, 13.10.18, *3
Van Helsing, 5S, 13E, *3
Blindspot, 3S, 22E, 11.12.18, *4, neu
Game of Thrones, 8S, 6E, *5, end
Arrow, 6S, 23E, 16.1.19, *3, neu 
Narcos, 3S, 10E, *4, end
Sherlock, 4S, 3E, *4
Dark, 3S, 8E, 31.10.20, *4
The 100, 4S, 13E, *3, neu
Vikings, 5S, 20E, *3, neu
Stranger Things, 4S, 9E, *3, 25.07.22
Westworld, 2S, 10E, 10.10.18, *4, neu
Liar, 1S, 6E, 05.04.18, *2, neu
Zoo, 3S, 13E, *3 
Haus des Geldes, 4S, 8E, 17.04.20, *3, neu
Tote Mädchen Lügen nicht, 2S, 13E, 10.07.18, *4, neu
Lost in Space, 2S, 10E, 07.01.20, *3, neu 
Suits, S7, 16E, 27.5.18, *3, neu
Six, 2S, 10E, 05.08.18, *2
the expanse, 2S, 13E, 8.8.18, *3, neu
Rick and Morty, 3S, 10E, 16.8.18, *3, neu
Homeland, 7S, 12E, 30.9.18, *3, neu
Blue Mountain State, 3S, 13E, 23.10.18, *2
The Team, 2S, 8E, 12.01.21, *2
Riverdale, 3S, 1E, 18.11.18, *2
Narcos: Mexico, 1S, 10E, 16.12.18, *3, neu
The End of the F***ing World, 1S, 8E, *3, neu
Black Mirror: Bandersnatch, 1S, 1E, *2, film
Black Mirror, 1S, 3E, *2, neu
IO, 1S, 1E, 19.1.19, *0, film
Jessica Jones, 2S, 13E, 04.02.19, *2, neu
Ted Bundy: Selbstporträt eines Serienmörders, S1, 4E, *4
Evil Genius, 1S, 4E, 18.2.19, *3
Du wirst mich Lieben, 1S, 10E, 21.2.19, *0
Making a Murderer, 1S, 1E, *3, neu
The Rain, 1S, 8E, 04.03.19, *3, neu
Mindhunter, 2S, 9E, 9.9.19, *4, neu
Formula 1, 4S, 10E, 06.04.22, *4
Sinner, 2S, 8E, 13.04.19, *3, neu
Oasis, 1S, 1E, 22.04.19, *0
Bodyguard, 1S, 6E, 28.04.19, *3
chambers, 1S, 10E, 05.05.19, *0
orphan black, 1S, 10E, *0, neu
Quicksand, 1S, 6E, *0
Chernobyl, 1S, 5E, *4, neu
13 gebote, 1S, 13E, 22.9.19, *0
Unbelievable, 1S, 8E, 29.9.19, *0
The I-land, 1S, 7E, 2.9.19, *0
Der Mensch Bill Gates, 1S, 3E, 4.10.19, *3
explained, 1S, 1E, *3
Designated Survivor, 1S, 21E, *1
Avatar, 3S, 21E, *4 
naruto, 9S, 220E, *5, end
Naruto Shippuden, 22S, 501E, *5, end
Sex Education, 2S, 8E, 5.2.20, *3, neu
The last Dance, 1S, 10E, 8.6.20, *3
Ragnarök, S2, 6E, 01.06.21, *4
Freud, S1, 8E, 14.6.20, *3
Dragonball, 5S, 153E, *3, end
Dragonball Z, 10S, 84E, 1.10.20, *4
Attack on Titan, 4S, 4E, 08.06.21, *5
Tokyo Ghoul, 3S, 24E, 23.02.21, *5
AnoHana - Die Blume die wir an jenem Tag sahen, 1S, 11E, 18.10.20, *3
Sword Art Online, 2S, 24E, 28.10.20, 4*
FullMetal Alchemist, 1S, 51E, 16.11.20, *3
Das Damengambit | The Queen's Gambit, 1S, 7E, 22.11.20, *3
FullMetal Alchemist Brotherhood, 1S, 64E, 10.12.20, *3
Hunter X Hunter (2011), 3S, 48E, 06.01.21, *5
Darling in the franxx, 1S, 24E, 12.01.21, *5
Kakegurui, 2S, 12E, 17.01.21, *3
Noragami, 2S, 13E, 24.01.21, *2
Dragonball Super, 5S, 55E, 17.02.21, *4, end
Verschwunden: Tatort Cecil Hotel, 1S, 4E, 24.02.21, *3
Boku no Hero Academia | My Hero Academia, 1S, 13E, 01.03.21, *3, neu
Date A Live, 3S, 12E, 09.03.21, *3, neu
Haikyuu!!, 3S, 10E, 25.03.21, *4
Killer-B The Beginning, 2S, 6E, 11.04.21, *2
the testament of sister new devil, 2S, 11E, 15.04.21, *0
Wer hat Sara Ermordet, 2S, 8E, 26.05.21, *3, neu
Die Schlange, 1S, 8E, 23.04.21, *2, end
Viollet Evergarden, 1S, 13E, 25.04.21, *4
Die Brücke, 4S, 8E, 09.05.21, *3
Destination Classroom, 2S, 25E, 18.05.21, *4
Angel Beats, 1S, 14E, 23.05.21, *3
Erased, 1S, 12E, 01.06.21, *3
High-Rise Invasion, 1S, 12E, 02.06.21, *4
BAKI, 3S, 10E, 15.06.21, *4
One Piece, 19S, 107E, 08.04.22, *5
Baki Hanma, 1S, 12E, 10.04.22, *4
Squid Game, 1S, 9E, 19.04.22, *4
Rascal Does Not Dream of Bunny Girl Senpai, 1S, 13E, *4
Akame ga Kill, 1S, 24E, *5
Record of Ragnerok, 1S, 12E, *3
Pick Blinders, 6S, 6E, 04.07.22, *4
The Asterix War, 1S, 24E, 14.08.22, *3
Seraph of the End: Vampire Region, 2S, 12E, *4
Tekken Bloodline, 1S, 6E, 27.08.22, *3
Spriggan, 1S, 6E, 28.08.22, *3
Steins;Gate, 1S, 25E, 14.09.22, *4
Cyberpunk, 1S, 10E, 17.09.22, *5
Madoka Magica Puella Hagi, 1S, 12E, 21.09.22, *3
Dahmer Monster: Die Geschichet von Jeffrey Dahmer, 1S, 10E, 26.09.22, 21.09.22, *3
Manhunt:Unabomber, 1S, 8E, 28.09.22, 26.09.22, *4
RegenmanTel-KillerMörder in Korea, 1S, 3E, 29.09.22, 28.09.22, *3
John Wayne Gacy Tapes, 1S, 3E, *3  